country,continent,flag,map,alias/0,alias/1,alias/2
Moldova,Europe,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Moldova.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Moldova.png,,,
Monaco,Europe,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Monaco.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Monaco.png,,,
Mongolia,Asia,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Mongolia.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Mongolia.png,,,
Montenegro,Europe,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Montenegro.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Montenegro.png,,,
Morocco,Africa,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Morocco.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Morocco.png,,,
Mozambique,Africa,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Mozambique.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Mozambique.png,,,
Myanmar,Asia,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Myanmar.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Myanmar.png,,,
Namibia,Africa,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Namibia.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Namibia.png,,,
Nauru,Oceania,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Nauru.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Nauru.png,,,
Nepal,Asia,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Nepal.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Nepal.png,,,
Netherlands,Europe,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Netherlands.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Netherlands.png,,,
New Zealand,Oceania,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/New%20Zealand.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/New%20Zealand.png,,,
Nicaragua,Americas,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Nicaragua.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Nicaragua.png,,,
